lat,lon,hour,ping_count
14.25,100.0,11,346
14.25,100.0,18,129
14.25,100.0,3,256
14.25,100.0,2,235
14.25,100.0,10,573
14.25,100.0,16,172
14.25,100.0,23,177
14.25,100.0,1,191
14.25,100.0,6,306
14.25,100.0,14,233
14.25,100.0,17,125
14.25,100.0,9,223
14.25,100.0,13,389
14.25,100.0,8,240
14.25,100.0,19,80
14.25,100.0,0,128
14.25,100.0,21,137
14.25,100.0,5,166
14.25,100.0,20,164
14.25,100.0,12,293
14.25,100.0,15,197
14.25,100.0,22,97
14.25,100.0,7,209
16.25,102.5,21,421
16.25,102.5,3,863
16.25,102.5,9,634
16.25,102.5,20,379
16.25,102.5,23,791
16.25,102.5,12,800
16.25,102.5,18,597
16.25,102.5,11,1758
16.25,102.5,14,492
16.25,102.5,8,1472
16.25,102.5,7,1006
16.25,102.5,17,430
16.25,102.5,2,1002
16.25,102.5,10,2043
16.25,102.5,22,431
16.25,102.5,15,575
16.25,102.5,4,2006
16.25,102.5,13,956
16.25,102.5,6,962
16.25,102.5,1,589
16.25,102.5,0,878
16.25,102.5,5,1206
16.25,102.5,16,467
16.25,102.5,19,350
14.0,100.5,21,202
14.0,100.5,7,421
14.0,100.5,20,111
14.0,100.5,23,444
14.0,100.5,8,327
14.0,100.5,12,465
14.0,100.5,3,371
14.0,100.5,2,318
14.0,100.5,15,217
14.0,100.5,6,418
14.0,100.5,11,778
14.0,100.5,22,221
14.0,100.5,17,227
14.0,100.5,19,212
14.0,100.5,4,665
14.0,100.5,14,321
14.0,100.5,18,339
14.0,100.5,10,757
14.0,100.5,13,437
14.0,100.5,0,349
14.0,100.5,9,408
14.0,100.5,16,167
14.0,100.5,5,432
14.0,100.5,1,257
17.25,103.0,4,2732
17.25,103.0,7,1205
17.25,103.0,8,1101
17.25,103.0,12,1641
17.25,103.0,3,1157
17.25,103.0,13,1057
17.25,103.0,2,1343
17.25,103.0,18,966
17.25,103.0,11,2359
17.25,103.0,20,505
17.25,103.0,6,1129
17.25,103.0,14,1059
